platform_id,video_id,watch_count,total_time_watched,price_per_watch
58,428,944476,26445328,0.5
161,59,1497,40419,0.49
17,1968,479237,28274983,0.27
161,1996,1503,79659,0.33
9,1054,778233,3891165,0.4
40,411,513209,27713286,0.35
113,49,387368,20143136,0.13
123,245,76316,2289480,0.42
9,1529,968740,22281020,0.1
158,1954,1497,32934,0.41
140,1698,321374,19282440,0.4
162,476,1497,16467,0.42
51,1604,968078,11616936,0.15
31,1055,118022,1888352,0.18
51,1772,767313,35296398,0.39
157,783,998625,54924375,0.21
22,353,908090,8172810,0.46
160,1079,1997,55916,0.25
161,534,1499,47968,0.41
162,1494,1498,77896,0.38
82,1182,698949,16075827,0.34
104,393,323307,12608973,0.19
58,919,892946,5357676,0.42
16,840,739272,30310152,0.37
160,22,2001,48024,0.31
41,155,98224,2848496,0.12
159,1824,1508,25636,0.35
33,1091,521039,12504936,0.42
44,448,402075,10856025,0.33
149,771,308721,10805235,0.15
7,717,356234,17099232,0.32
67,1691,921670,12903380,0.29
13,542,630446,21435164,0.21
77,1162,24035,600875,0.37
161,654,1498,70406,0.29
159,184,1511,13599,0.41
122,1744,693416,32590552,0.19
158,360,1499,64457,0.31
161,721,1503,34569,0.19
41,1702,394085,19310165,0.45
160,1537,1993,17937,0.42
90,903,921868,52546476,0.48
159,1336,1513,87754,0.22
152,607,594134,26736030,0.12
161,1345,1501,18012,0.28
162,168,1500,40500,0.25
145,1385,246332,7389960,0.11
159,1461,1509,39234,0.48
159,1917,1510,60400,0.33
41,1634,190885,3817700,0.22
160,1388,2004,34068,0.23
160,1977,1994,27916,0.23
39,1584,359596,10428284,0.41
147,1861,583658,31517532,0.4
23,159,988653,38557467,0.3
159,1245,1510,15100,0.37
84,655,209101,7736737,0.46
97,1279,435823,7844814,0.32
160,1844,2003,90135,0.17
97,1560,472984,28379040,0.13
45,1579,635911,7630932,0.29
98,338,436654,12662966,0.11
127,584,667677,39392943,0.5
13,901,383801,2302806,0.36
158,956,1500,25500,0.45
126,969,539978,15659362,0.48
81,244,663720,23893920,0.42
159,1949,1517,42476,0.22
32,504,192825,10026900,0.29
16,1777,662455,21198560,0.49
160,886,2000,56000,0.4
62,1254,289951,15367403,0.37
110,1439,255457,4853683,0.21
74,1709,541594,4332752,0.27
11,1733,344470,14812210,0.34
135,1851,117706,2236414,0.18
54,750,490063,15191953,0.41
162,574,1501,45030,0.35
56,1390,692754,29788422,0.27
160,1149,1998,93906,0.28
39,1971,639881,11517858,0.18
112,1563,440259,8805180,0.14
160,864,2003,98147,0.34
19,767,868396,35604236,0.49
159,26,1508,64844,0.37
106,1009,307644,7998744,0.18
158,381,1502,45060,0.32
125,1317,464396,16253860,0.3
47,90,63300,3734700,0.15
161,547,1505,12040,0.29
159,1215,1506,46686,0.17
116,111,402359,19313232,0.26
128,472,405098,11342744,0.3
40,786,276239,11602038,0.26
75,224,299837,2398696,0.32
105,351,337163,6068934,0.42
162,775,1496,28424,0.14
107,866,185821,8547766,0.47
155,1024,312580,8127080,0.39
82,1382,352758,17637900,0.32
129,1776,935834,34625858,0.19
47,1277,778489,42816895,0.26
159,1872,1513,28747,0.33
106,1695,902231,41502626,0.22
100,1187,360067,21604020,0.13
162,1189,1502,13518,0.26
162,455,1498,40446,0.3
13,30,297971,7747246,0.18
162,1068,1499,44970,0.36
38,1423,499552,23478944,0.49
160,335,2000,76000,0.24
159,633,1506,22590,0.36
159,656,1511,39286,0.26
36,29,847761,22041786,0.11
6,1378,814240,46411680,0.34
107,591,76522,4361754,0.34
159,1284,1514,78728,0.27
161,1792,1504,36096,0.18
97,1193,536760,6441120,0.13
142,1785,509934,2549670,0.35
30,837,5731,40117,0.24
147,843,459988,12419676,0.34
120,73,56974,2392908,0.31
78,472,661904,18533312,0.11
56,1146,95501,2483026,0.23
89,1895,553729,31008824,0.48
158,1720,1499,65956,0.22
113,1802,320868,18610344,0.49
27,1088,64542,1226298,0.43
161,778,1504,42112,0.3
149,974,459995,11499875,0.31
48,222,401154,7220772,0.4
158,896,1503,43587,0.46
161,1379,1505,13545,0.15
124,515,337523,7425506,0.34
158,1604,1500,18000,0.34
118,371,33480,334800,0.37
26,501,818252,6546016,0.39
160,3,2000,74000,0.25
88,897,54085,3028760,0.19
162,1503,1503,24048,0.47
8,989,585377,5268393,0.39
80,1233,695675,4174050,0.41
158,1582,1498,89880,0.24
117,1519,952454,32383436,0.24
82,796,524457,20978280,0.43
161,1755,1496,79288,0.1
83,903,950001,54150057,0.21
60,1889,463627,26426739,0.37
161,1522,1500,34500,0.39
82,590,568156,18749148,0.13
158,114,1504,51136,0.21
158,1971,1497,26946,0.16
110,422,778000,5446000,0.39
68,69,988371,27674388,0.4
112,1556,955402,43948492,0.33
20,1569,163867,3932808,0.17
154,852,774704,22466416,0.33
158,723,1503,52605,0.1
159,1527,1509,39234,0.5
159,1407,1508,57304,0.48
162,1104,1497,41916,0.25
53,1742,696848,24389680,0.12
132,1828,25454,967252,0.34
158,608,1500,25500,0.4
57,1497,497779,3982232,0.27
41,1998,938204,11258448,0.35
50,133,854887,33340593,0.11
84,997,530875,31852500,0.24
75,607,993914,44726130,0.24
161,865,1496,67320,0.18
161,89,1503,75150,0.16
116,342,299588,8688052,0.18
38,1377,477914,7646624,0.47
158,654,1494,70218,0.47
131,1129,510848,21455616,0.12
158,973,1503,21042,0.37
157,1931,968133,21298926,0.5
139,535,201069,3820311,0.37
45,1213,868444,26053320,0.15
84,209,550744,22029760,0.37
12,694,307270,9218100,0.5
85,86,418675,22608450,0.43
160,89,2004,100200,0.14
158,1812,1496,46376,0.49
70,575,229506,3442590,0.47
162,773,1504,40608,0.16
6,1454,481925,6265025,0.16
18,1171,175694,1054164,0.39
31,980,750801,17268423,0.19
159,443,1509,72432,0.15
134,335,828378,31478364,0.16
14,447,874938,41122086,0.15
53,1837,617881,35219217,0.28
146,1605,693891,14571711,0.15
160,729,2000,30000,0.38
34,429,608279,23722881,0.13
32,1177,422503,24505174,0.41
161,311,1501,28519,0.18
51,1941,969546,44599116,0.25
142,8,301250,4217500,0.12
86,1719,907088,30840992,0.29
14,814,448839,19748916,0.21
28,150,139535,1116280,0.3
161,1607,1500,25500,0.15
82,604,448490,3587920,0.31
159,731,1507,43703,0.14
145,201,963714,4818570,0.19
126,1978,945182,38752462,0.14
99,1853,844007,18568154,0.11
74,483,39006,273042,0.37
158,732,1501,31521,0.38
108,1202,225086,7878010,0.28
117,1900,614828,35660024,0.45
53,784,758288,28056656,0.41
111,842,199640,1996400,0.45
160,143,1997,37943,0.45
93,1654,498239,8968302,0.29
52,910,296643,15425436,0.14
90,178,190985,5729550,0.29
43,589,692589,35322039,0.4
159,320,1515,66660,0.34
162,1030,1500,9000,0.47
162,112,1502,34546,0.15
61,448,156338,4221126,0.36
161,1363,1494,82170,0.37
107,1032,86218,1120834,0.14
160,1865,2000,14000,0.12
161,308,1494,26892,0.12
34,441,564967,27683383,0.39
84,523,833355,24167295,0.47
75,1790,450030,11700780,0.12
36,1695,360635,16589210,0.28
28,247,724876,15222396,0.38
4,1905,970483,27173524,0.3
37,1017,308839,9265170,0.39
69,601,715821,21474630,0.3
97,779,980104,57826136,0.15
20,1379,789847,7108623,0.16
111,1757,743467,23047477,0.37
110,460,726135,34854480,0.48
161,581,1497,35928,0.34
20,1135,11703,655368,0.22
158,1861,1502,81108,0.47
30,641,160887,6435480,0.14
160,1913,2001,12006,0.11
162,1313,1498,19474,0.27
159,1790,1514,39364,0.49
68,1413,519052,9342936,0.3
161,1062,1499,71952,0.19
135,572,857033,43708683,0.13
100,506,314807,11018245,0.27
90,1930,724118,42722962,0.31
34,825,997587,29927610,0.32
57,565,227840,10480640,0.47
162,1306,1502,55574,0.4
158,35,1501,61541,0.2
122,1741,461939,24944706,0.29
161,101,1496,32912,0.22
102,929,538596,29084184,0.46
160,1384,2003,104156,0.35
57,1707,445776,12927504,0.28
126,1365,378711,10982619,0.4
5,209,986506,39460240,0.32
23,1976,940974,21642402,0.36
73,1437,724335,34043745,0.17
100,1227,485524,19420960,0.22
106,1113,206539,10740028,0.41
160,591,2001,114057,0.25
160,95,1998,41958,0.47
11,1081,21090,274170,0.48
159,1797,1508,30160,0.15
162,446,1501,45030,0.14
162,1155,1498,10486,0.13
159,1651,1511,84616,0.16
162,636,1503,31563,0.23
107,147,215688,6039264,0.28
160,643,2002,56056,0.48
110,1376,57676,1557252,0.14
27,37,955442,21975166,0.18
60,1434,592039,22497482,0.2
145,300,264319,4493423,0.17
7,453,263267,3685738,0.42
114,20,761413,3807065,0.32
49,1847,60840,2737800,0.16
4,804,826499,41324950,0.17
162,1052,1499,88441,0.2
160,645,1999,59970,0.21
6,35,911121,37355961,0.27
162,384,1505,27090,0.46
66,1702,653576,32025224,0.48
63,1827,642911,16715686,0.12
18,254,893219,33942322,0.33
161,1686,1503,7515,0.37
16,1228,219508,9658352,0.34
160,1112,1996,9980,0.37
158,243,1499,11992,0.32
147,923,735321,5147247,0.22
104,1769,591453,30164103,0.38
159,1557,1508,15080,0.26
162,675,1499,7495,0.36
162,1326,1498,53928,0.29
30,89,360327,18016350,0.2
161,483,1496,10472,0.23
64,1444,401115,2005575,0.29
0,1405,798454,18364442,0.43
44,1156,503124,8049984,0.42
160,1792,1993,47832,0.44
158,1726,1508,60320,0.31
120,503,547107,19148745,0.11
48,1995,22249,1023454,0.25
162,1450,1500,22500,0.11
90,1252,988451,24711275,0.18
162,559,1500,67500,0.37
162,1452,1498,56924,0.24
86,1034,650011,18850319,0.37
20,12,658942,8566246,0.49
49,1184,678388,37989728,0.4
119,1608,756868,44655212,0.27
9,941,645630,16140750,0.46
16,1743,982932,51112464,0.1
159,1563,1507,30140,0.44
71,681,16891,405384,0.41
102,469,603289,34387473,0.13
162,130,1496,13464,0.11
42,125,779723,19493075,0.35
105,49,298919,15543788,0.48
160,841,2007,48168,0.37
80,1920,986559,7892472,0.27
158,1023,1502,37550,0.41
161,1514,1504,24064,0.47
159,1551,1509,87522,0.21
17,940,95702,2583954,0.31
9,1011,542480,32006320,0.46
27,1506,298211,11033807,0.47
162,1789,1495,80730,0.45
162,921,1500,78000,0.38
132,1945,774706,3873530,0.26
151,1312,590801,7680413,0.38
20,1903,842121,13473936,0.12
39,653,627839,35158984,0.17
142,842,878812,8788120,0.14
117,15,775059,10075767,0.42
72,431,659964,4619748,0.3
162,1491,1497,86826,0.37
158,1801,1498,68908,0.45
143,1120,711433,28457320,0.33
37,1291,772347,17763981,0.43
162,1163,1502,61582,0.24
22,1913,947202,5683212,0.32
160,655,1998,73926,0.3
158,1185,1501,15010,0.25
127,344,609848,9757568,0.21
65,975,12830,436220,0.26
84,1364,171783,1030698,0.48
161,1121,1503,15030,0.2
37,506,287675,10068625,0.4
84,1755,869426,46079578,0.13
160,1071,1997,49925,0.45
21,1893,193065,4247430,0.23
68,365,75393,1432467,0.24
159,1646,1512,15120,0.33
37,1093,291269,3786497,0.3
49,1939,525613,12089099,0.48
159,1901,1508,43732,0.29
25,1862,995711,14935665,0.42
55,201,704235,3521175,0.47
159,1107,1515,9090,0.4
36,113,576198,14981148,0.24
158,817,1498,14980,0.28
157,65,956666,16263322,0.44
162,104,1500,43500,0.42
114,1961,858107,24026996,0.11
28,409,454279,4088511,0.37
16,446,509235,15277050,0.25
158,1502,1505,45150,0.34
146,233,507216,9637104,0.18
159,869,1507,31647,0.13
84,1603,721932,15160572,0.27
105,84,321878,2253146,0.19
83,1698,928099,55685940,0.39
150,1048,337162,3371620,0.19
93,1949,231401,6479228,0.29
88,9,296443,3557316,0.45
161,1612,1498,31458,0.15
159,1626,1512,89208,0.24
162,1548,1499,38974,0.33
21,653,902814,50557584,0.38
83,1354,811080,36498600,0.13
4,1703,463408,21780176,0.33
160,99,1996,69860,0.14
159,1571,1515,48480,0.47
160,1687,1993,85699,0.28
30,1895,323985,18143160,0.23
158,747,1495,68770,0.24
84,810,212705,4679510,0.2
61,1521,457384,12349368,0.15
20,1640,157841,9312619,0.41
69,1778,774310,17034820,0.18
127,249,233933,1169665,0.5
162,961,1498,53928,0.41
161,507,1502,76602,0.36
97,184,764851,6883659,0.3
97,1495,772522,18540528,0.37
141,1289,962823,34661628,0.46
162,1131,1504,54144,0.41
75,782,820493,47588594,0.18
97,47,524399,9439182,0.38
115,1463,616876,12954396,0.24
159,1078,1510,69460,0.11
42,1787,101108,2831024,0.23
107,237,206400,10320000,0.4
104,1085,115524,2194956,0.12
160,663,2001,116058,0.21
160,137,1997,45931,0.41
48,762,728892,13120056,0.25
134,387,121180,1696520,0.23
139,1371,994685,15914960,0.41
158,464,1504,42112,0.26
161,999,1501,54036,0.18
159,659,1508,78416,0.15
33,1143,861896,24994984,0.22
119,1913,269508,1617048,0.39
111,396,87287,523722,0.31
24,97,79533,3419919,0.19
38,1189,695195,6256755,0.14
78,1230,854428,29050552,0.3
24,1487,709177,26948726,0.47
162,1712,1502,10514,0.36
73,1052,57240,3377160,0.46
131,975,379016,12886544,0.29
161,61,1501,55537,0.42
158,103,1504,85728,0.44
61,1073,584954,11699080,0.14
122,292,646807,21344631,0.3
12,42,403686,14129010,0.42
138,732,283240,5948040,0.19
58,1943,548163,9866934,0.36
37,390,941727,12242451,0.35
111,1431,971194,19423880,0.42
161,62,1496,73304,0.29
125,1979,705828,28938948,0.26
160,870,1997,111832,0.14
81,1309,110458,2098702,0.39
39,411,837483,45224082,0.21
39,559,570850,25688250,0.35
140,1291,53724,1235652,0.45
145,351,243404,4381272,0.41
104,1397,180778,9762012,0.29
162,1545,1499,41972,0.16
37,1212,741118,43725962,0.42
96,603,752997,5270979,0.18
162,1603,1497,31437,0.3
29,767,854488,35034008,0.2
109,1517,542054,4336432,0.37
90,1133,372252,8189544,0.42
30,1382,906637,45331850,0.2
53,856,495680,12887680,0.19
158,803,1506,70782,0.42
159,527,1510,89090,0.45
78,780,104077,3018233,0.15
111,380,104265,5213250,0.13
41,39,717364,20086192,0.13
26,1004,71718,4231362,0.5
12,1332,275919,7449813,0.27
43,806,818358,8183580,0.32
160,165,1998,81918,0.28
32,204,156343,8129836,0.41
158,1311,1499,41972,0.4
111,366,13582,787756,0.26
54,1808,252401,7319629,0.12
120,1171,688489,4130934,0.12
161,491,1498,13482,0.37
142,927,537483,10749660,0.31
158,329,1500,21000,0.23
105,1885,331496,15580312,0.48
0,964,847777,4238885,0.14
162,697,1494,38844,0.32
146,1257,256811,4622598,0.4
158,1195,1502,15020,0.41
162,599,1496,71808,0.5
118,295,472663,14179890,0.46
142,1317,657150,23000250,0.16
161,947,1502,25534,0.25
40,943,194140,5241780,0.4
35,868,872987,7856883,0.29
112,775,803035,15257665,0.32
101,360,760527,32702661,0.44
65,1381,187980,5075460,0.43
25,1283,348952,1744760,0.41
14,586,289544,3184984,0.23
145,1659,35487,603279,0.26
73,53,950676,26618928,0.35
161,178,1499,44970,0.41
161,1961,1500,42000,0.32
159,1984,1512,19656,0.14
159,1734,1508,33176,0.44
87,1128,792691,25366112,0.38
158,150,1502,12016,0.11
100,966,739158,30305478,0.24
158,1058,1502,12016,0.22
6,162,882488,47654352,0.15
0,1730,174896,4897088,0.15
158,1869,1497,38922,0.45
159,1595,1509,16599,0.18
161,1218,1500,13500,0.27
161,168,1499,40473,0.43
101,1554,530244,2651220,0.12
161,252,1499,40473,0.31
87,1782,345818,10028722,0.3
120,1922,103489,827912,0.46
97,1463,342172,7185612,0.46
44,1146,503387,13088062,0.47
158,1116,1499,88441,0.45
108,1441,3676,124984,0.26
73,6,230605,3689680,0.34
1,243,915483,7323864,0.19
160,185,1997,27958,0.15
161,1590,1503,43587,0.31
73,1116,655856,38695504,0.1
84,1716,125085,3252210,0.28
80,1957,38758,542612,0.5
161,1528,1503,19539,0.41
158,206,1495,32890,0.32
159,504,1510,78520,0.17
74,1377,260305,4164880,0.47
142,859,88977,4626804,0.35
121,198,404954,4049540,0.19
150,1500,5155,154650,0.46
158,1365,1503,43587,0.18
29,1704,898945,34159910,0.27
160,559,1998,89910,0.12
13,214,52706,316236,0.33
162,1047,1501,16511,0.23
41,570,44755,2416770,0.2
141,1943,2244,40392,0.3
72,84,760576,5324032,0.16
148,617,527172,7380408,0.25
85,1189,386831,3481479,0.34
125,449,366816,16873536,0.3
161,1805,1504,34592,0.32
159,1095,1516,39416,0.31
116,1291,940684,21635732,0.16
14,1880,267454,5883988,0.29
96,736,304059,8817711,0.17
31,1468,470085,5170935,0.48
17,396,162953,977718,0.25
103,380,9107,455350,0.31
157,1074,279531,15094674,0.21
159,820,1510,19630,0.36
21,1644,467839,13099492,0.34
158,1142,1500,61500,0.11
104,350,666850,14003850,0.33
160,356,1999,53973,0.28
160,1395,2002,64064,0.26
146,540,796984,11157776,0.39
64,945,432280,21181720,0.4
24,1744,449892,21144924,0.35
162,1658,1500,40500,0.14
18,1474,40297,1128316,0.21
111,1581,475598,16645930,0.14
81,1867,607728,32817312,0.26
158,548,1503,82665,0.41
117,1931,958909,21095998,0.43
16,562,619459,14867016,0.42
159,778,1509,42252,0.44
48,645,534982,16049460,0.2
124,350,337236,7081956,0.4
69,490,122173,6475169,0.46
7,803,690186,32438742,0.18
123,252,656357,17721639,0.31
140,1710,635896,17169192,0.48
148,829,750825,8259075,0.38
19,1204,115219,1613066,0.13
29,1246,591656,33724392,0.29
47,1368,849989,13599824,0.19
158,832,1499,16489,0.3
158,375,1498,16478,0.27
47,1429,41653,1957691,0.18
22,877,800902,45651414,0.17
160,1462,2000,100000,0.38
161,615,1500,46500,0.14
160,1559,1997,77883,0.28
160,152,1998,19980,0.32
1,128,116663,4199868,0.13
6,1722,802560,48153600,0.12
158,1967,1498,77896,0.32
128,999,250984,9035424,0.48
3,1966,507697,13707819,0.41
147,1141,108679,6520740,0.46
136,128,577049,20773764,0.34
64,1306,705947,26120039,0.18
134,832,610790,6718690,0.14
74,1494,633031,32917612,0.24
156,421,580731,22067778,0.11
125,950,589620,15330120,0.11
124,1047,604757,6652327,0.26
111,1684,25600,972800,0.4
161,1021,1501,18012,0.46
7,1595,548860,6037460,0.43
91,453,369488,5172832,0.26
159,808,1508,34684,0.5
134,185,27184,380576,0.19
80,1409,204342,2247762,0.22
146,1245,12187,121870,0.11
154,1374,42762,256572,0.18
75,591,77339,4408323,0.28
62,1557,448764,4487640,0.42
162,1120,1500,60000,0.32
111,1281,755063,33222772,0.31
160,381,2005,60150,0.33
159,1138,1512,39312,0.22
140,1515,354996,10294884,0.32
160,405,1996,61876,0.27
161,1709,1500,12000,0.15
20,1943,291417,5245506,0.25
82,826,174461,4710447,0.32
110,841,283868,6812832,0.11
150,632,394430,7494170,0.32
4,1962,31426,974206,0.22
128,1725,160271,2083523,0.43
157,1695,691248,31797408,0.13
55,1145,427610,18387230,0.16
103,1702,783958,38413942,0.38
34,591,989578,56405946,0.19
48,644,595655,16678340,0.14
52,908,463574,7880758,0.14
45,1121,298607,2986070,0.35
159,104,1507,43703,0.43
140,615,282618,8761158,0.27
125,623,717671,17941775,0.12
160,1583,2000,48000,0.37
162,1688,1498,68908,0.4
158,894,1500,58500,0.3
162,1844,1495,67275,0.36
23,1810,107861,4206579,0.39
161,376,1498,73402,0.48
77,1893,232497,5114934,0.43
136,344,574835,9197360,0.49
82,1107,982079,5892474,0.26
159,404,1514,40878,0.27
83,851,287144,8327176,0.41
30,1361,444764,7116224,0.38
158,379,1497,8982,0.18
131,117,695670,33392160,0.12
150,1480,812812,21945924,0.34
160,1205,2001,32016,0.31
126,1144,315449,5047184,0.48
90,1614,684615,36284595,0.32
34,1213,422558,12676740,0.32
77,1439,471740,8963060,0.38
146,735,598338,5983380,0.46
158,1474,1502,42056,0.15
7,1074,829650,44801100,0.47
160,1124,2000,36000,0.35
76,7,570090,6841080,0.15
