id,instance_name,active_time_sec,boot_time_sec,get_requests,post_requests,traffic_in_mb,traffic_out_mb,average_response_time_ms
61,inst-061,78589,113,8884,5787,0,135954,138
62,inst-062,77784,225,11569,13364,5603,94021,138
63,inst-063,73679,133,9385,13824,17079,81686,168
64,inst-064,70718,168,16598,12460,0,161561,135
65,inst-065,74445,307,16196,11864,10397,62084,138
66,inst-066,73863,234,10600,14680,11229,68375,262
67,inst-067,80411,110,5260,19994,2904,81009,124
68,inst-068,1674,110,2267,15395,9325,113075,211
69,inst-069,22009,100,16732,4962,3437,132405,55
70,inst-070,73151,372,14502,3392,13051,56370,97
71,inst-071,53516,5,850,9262,9549,87536,138
72,inst-072,74764,80,21398,16200,14353,117008,213
73,inst-073,82532,306,12647,13423,3718,113003,108
74,inst-074,70569,5,11229,15248,8372,40631,72
75,inst-075,85670,5,10012,9050,7834,126836,111
76,inst-076,86048,111,16195,11975,3278,128190,205
77,inst-077,54807,307,14328,0,17758,172420,133
78,inst-078,85581,179,11173,12353,20097,175992,163
79,inst-079,84871,266,13291,16428,8057,111389,194
80,inst-080,77874,368,12957,10938,14946,50487,61
81,inst-081,71878,48,13279,12802,1972,70559,107
82,inst-082,11181,113,1672,14938,12674,48349,141
83,inst-083,6635,5,9855,10904,9058,126454,137
84,inst-084,64809,306,15570,10423,9210,62593,152
85,inst-085,24327,157,13675,0,7883,93762,163
86,inst-086,80605,261,15639,4094,1793,104840,231
87,inst-087,63556,5,13553,5318,16744,129240,136
88,inst-088,72044,118,7872,12440,15723,75012,130
89,inst-089,83204,147,19553,15139,14934,196087,214
90,inst-090,12300,202,2548,18470,9766,97089,161
91,inst-091,71277,447,0,6357,11515,85910,101
92,inst-092,77939,177,15481,16881,16309,78556,53
93,inst-093,83065,200,19822,13470,15081,20098,126
94,inst-094,71325,102,6166,17256,9732,117347,176
95,inst-095,80200,382,8478,7175,7042,79373,263
96,inst-096,73437,210,7591,6926,8447,158420,125
97,inst-097,70951,370,6105,11479,8941,147315,155
98,inst-098,69270,249,5900,5447,9236,130035,222
99,inst-099,70153,47,13591,14250,16047,47061,79
100,inst-100,78462,248,782,20180,4415,136420,237
101,inst-101,5207,165,13205,9752,13590,135861,163
102,inst-102,70182,165,7517,5958,18963,46767,165
103,inst-103,70826,289,19501,12213,21536,96947,229
104,inst-104,84420,210,3421,11667,11425,79458,117
105,inst-105,71365,5,14593,3805,12360,145622,60
106,inst-106,81296,300,5970,11336,22045,159808,133
107,inst-107,73304,119,4738,13565,15816,106708,145
108,inst-108,76326,263,11532,11523,17130,91031,270
109,inst-109,76087,119,14290,14130,15550,94894,102
110,inst-110,80049,264,19605,7558,9682,226610,137
111,inst-111,85004,107,16237,13785,9293,73738,76
112,inst-112,77972,30,12670,16432,9473,56292,134
113,inst-113,70131,201,10934,12559,12254,94403,124
114,inst-114,35486,88,22516,11161,17245,74984,187
115,inst-115,74985,216,9565,2797,15856,76321,135
116,inst-116,81289,216,10102,9351,13345,125821,125
117,inst-117,71677,425,14203,7707,9890,49444,146
118,inst-118,71613,346,10770,2470,4203,26344,110
119,inst-119,69845,295,12674,9832,7198,55426,169
120,inst-120,72567,41,11417,9505,5071,57603,172
121,inst-121,11194,347,9115,11667,9993,175494,176
122,inst-122,71680,155,2549,14615,18540,177115,160
123,inst-123,77259,9,19138,9447,14932,123246,160
124,inst-124,21516,93,6908,9926,12716,120826,123
125,inst-125,78435,267,12693,4082,11239,114204,156
126,inst-126,73391,182,8965,5900,13177,222884,116
127,inst-127,83016,123,21601,3962,11032,174781,153
128,inst-128,75810,268,18454,10995,11152,159750,183
129,inst-129,9892,329,21383,14461,6756,0,134
130,inst-130,72968,180,11364,0,6893,0,188
131,inst-131,39176,265,12062,8527,7212,99052,207
132,inst-132,71527,230,2734,12314,12789,108241,174
133,inst-133,80429,183,14454,15201,7106,121652,145
134,inst-134,85653,109,10678,16207,13948,168563,209
135,inst-135,77566,145,1061,24710,11603,147735,196
136,inst-136,74633,5,10953,6788,5669,101419,185
137,inst-137,85635,381,7367,11954,11603,71743,132
138,inst-138,69132,286,11428,14060,17999,35582,50
139,inst-139,84950,64,10316,9070,5297,162932,225
140,inst-140,75438,19,13498,10359,9405,170078,151
141,inst-141,75105,187,16852,17341,12325,148053,270
142,inst-142,15682,365,6817,12555,14761,181568,60
143,inst-143,70357,242,11993,6939,15200,163271,204
144,inst-144,70978,227,14504,6665,5178,117231,121
145,inst-145,81652,89,17913,13299,7842,82427,179
146,inst-146,84758,358,12805,8000,7463,183085,50
147,inst-147,10924,295,4558,6908,10815,109860,164
148,inst-148,76157,193,6865,20480,7179,72464,140
149,inst-149,72759,153,13961,10079,8478,53899,217
150,inst-150,71406,80,4864,2579,14582,127220,120
151,inst-151,76176,191,13323,14653,14597,148701,177
152,inst-152,72018,284,11288,3217,9348,144996,152
153,inst-153,85883,241,7811,1771,4228,105317,230
154,inst-154,74513,103,9247,6589,16149,83657,161
155,inst-155,11055,341,10108,12725,8126,79889,245
156,inst-156,78676,281,12772,5828,7502,164618,72
157,inst-157,81536,222,13756,9166,12413,144423,98
158,inst-158,70778,425,12568,13289,8847,169626,171
159,inst-159,71482,98,19057,8126,6253,32664,100
160,inst-160,72263,154,20331,10771,2551,123253,130
161,inst-161,86022,155,11147,2718,10346,61852,116
162,inst-162,77787,158,12662,11921,3159,106370,250
163,inst-163,74826,353,11206,20700,1896,147181,172
164,inst-164,77613,462,14943,5219,7675,156798,123
165,inst-165,85155,119,14759,17026,0,96318,176
166,inst-166,73172,245,12900,4338,964,74099,125
167,inst-167,82944,167,9214,5297,5527,60431,162
168,inst-168,19633,206,3313,20903,5119,41321,52
169,inst-169,83319,21,11814,8434,15427,63543,178
170,inst-170,83834,305,20083,14264,3549,103046,205
171,inst-171,72312,121,4473,12890,18146,118307,175
172,inst-172,75950,28,19600,11676,11717,111206,139
173,inst-173,72313,204,7854,14463,7388,166474,100
174,inst-174,69516,50,13180,17662,0,128746,181
175,inst-175,75248,148,6328,12631,5703,106381,131
176,inst-176,77873,44,10560,5451,9352,87905,111
177,inst-177,72272,309,7537,10105,16136,117646,188
178,inst-178,39796,5,8489,6991,13215,40312,157
179,inst-179,76524,8,4149,10017,12465,209689,155
180,inst-180,81935,108,10898,14991,5924,23906,146
181,inst-181,71289,38,1877,13551,1679,163788,136
182,inst-182,76377,344,14908,10347,9347,32924,72
183,inst-183,76350,142,12115,6167,10192,82796,230
184,inst-184,78360,90,13779,4370,15683,36876,199
185,inst-185,83894,273,773,5514,678,86377,216
186,inst-186,58978,78,12039,8894,15729,30024,185
187,inst-187,83694,142,20982,800,9451,6927,129
188,inst-188,69360,350,11236,2357,10998,80416,293
189,inst-189,31926,182,4421,5712,5086,95150,165
190,inst-190,60205,188,8851,7853,6147,98952,138
191,inst-191,69259,320,8656,0,12496,90649,213
192,inst-192,70374,307,12780,14025,12883,132419,204
193,inst-193,77516,279,10318,5944,7658,45540,209
194,inst-194,69133,140,14562,7240,4557,30740,63
195,inst-195,73537,304,9737,16021,9761,102420,82
196,inst-196,10263,72,8129,6855,12924,124418,159
197,inst-197,74947,149,8044,7300,4437,53395,133
198,inst-198,81095,370,7047,14212,6186,45955,168
199,inst-199,77003,5,9499,14400,2285,119830,161
200,inst-200,78425,45,13263,13522,19765,70414,144
201,inst-201,18034,221,4869,10929,9489,146669,50
202,inst-202,81634,153,9576,4111,6541,86035,200
203,inst-203,77323,352,13059,14706,17317,63168,133
204,inst-204,79718,241,12083,11925,15667,156546,115
205,inst-205,73456,5,6685,12496,10121,45615,158
206,inst-206,80829,69,14427,8755,14949,84023,158
207,inst-207,80800,176,13638,7111,7955,64003,167
208,inst-208,76610,117,9975,10136,5727,21856,191
209,inst-209,80827,462,13754,5310,8921,78268,197
210,inst-210,78530,441,8087,11854,22716,72793,155
211,inst-211,78367,471,15490,13644,8866,83214,150
212,inst-212,27634,185,13491,16108,10292,45283,138
213,inst-213,78092,152,15102,5551,10135,121296,178
214,inst-214,48009,125,9766,12423,10955,99428,227
215,inst-215,61657,5,13609,6959,16077,57302,194
216,inst-216,79721,172,6103,13474,2047,176545,262
217,inst-217,54219,252,12667,3352,9850,66772,100
218,inst-218,4576,300,17172,10545,11492,82363,125
219,inst-219,81148,222,1979,5374,10245,135772,147
220,inst-220,73965,123,16210,6767,16537,123734,150
221,inst-221,78345,135,8674,12616,14873,94471,193
222,inst-222,75925,186,12903,14502,14331,96456,191
223,inst-223,83584,179,17403,12281,13605,47646,206
224,inst-224,60957,49,9892,9412,12408,160699,146
225,inst-225,72652,73,12679,15553,8255,132171,124
226,inst-226,23906,162,2601,2359,7453,106807,120
227,inst-227,70620,324,2090,14479,13880,17571,67
228,inst-228,23811,135,5165,9538,16337,87043,102
229,inst-229,80319,126,15276,3299,17138,151841,156
230,inst-230,74614,242,6966,11114,5088,75529,165
231,inst-231,85355,292,11655,10098,3585,117362,200
232,inst-232,59504,252,4283,869,3718,34845,88
233,inst-233,13331,300,7773,4653,14070,93425,88
234,inst-234,78264,270,7251,2960,2495,66754,196
235,inst-235,82628,302,7078,9055,3550,100757,141
236,inst-236,76460,67,4036,0,10799,94363,88
237,inst-237,76874,158,6488,6610,11947,80946,145
238,inst-238,20447,149,11341,16535,10308,49266,146
239,inst-239,74778,5,13470,9681,8245,135176,91
240,inst-240,84330,183,13364,10657,7309,147892,194
241,inst-241,77606,66,8099,6531,2068,66982,130
242,inst-242,83663,241,13754,17897,5870,88961,207
243,inst-243,79394,81,14081,6647,15462,106714,140
244,inst-244,53632,217,9661,14012,13119,27218,125
245,inst-245,86153,172,11851,143,3326,29555,127
246,inst-246,78899,5,10818,591,16101,60005,111
247,inst-247,85268,183,16514,21290,16217,0,215
248,inst-248,30563,243,10165,9641,12472,117310,120
249,inst-249,72829,160,4969,11838,15366,0,106
250,inst-250,83430,69,15966,10234,11977,204100,202
251,inst-251,72666,104,9117,7886,7010,4548,132
252,inst-252,73687,184,17741,5825,10457,73209,181
253,inst-253,83937,292,10676,9686,17964,117323,91
254,inst-254,81484,331,12418,7693,8557,72676,182
255,inst-255,71755,144,7480,5050,14219,24936,189
256,inst-256,64389,285,6180,5120,15123,31027,140
257,inst-257,82343,318,10549,5111,12653,34801,122
258,inst-258,41607,144,10717,18956,15172,159963,184
259,inst-259,81139,104,14693,11232,10686,89735,161
260,inst-260,71518,51,9277,12843,7718,89779,188
261,inst-261,70625,168,9284,8253,7387,175553,50
262,inst-262,77268,137,13562,10022,2487,121499,244
263,inst-263,3760,79,13249,0,7662,103370,148
264,inst-264,20016,555,10998,12631,15517,74061,93
265,inst-265,71403,239,12888,13501,8458,77037,192
266,inst-266,53193,238,6228,8355,12777,143965,199
267,inst-267,83895,358,5864,8336,7525,150141,124
268,inst-268,42970,5,12865,15124,8356,87857,199
269,inst-269,82848,1201,16680,0,3179,97830,173
270,inst-270,84861,238,0,4635,8964,136126,188
271,inst-271,73402,381,10110,11179,14549,162994,155
272,inst-272,72786,303,11717,13975,9834,107810,50
273,inst-273,72185,62,7429,5394,8093,56303,237
274,inst-274,74820,316,11231,14140,559,89999,175
275,inst-275,70782,186,4818,15327,5363,82242,259
276,inst-276,70994,464,0,11872,15107,131502,83
277,inst-277,81497,131,13075,14298,11612,104823,176
278,inst-278,81282,209,12537,4206,4349,103826,152
279,inst-279,2397,219,15944,14104,11901,153613,217
280,inst-280,79733,327,18524,8630,6492,55304,214
281,inst-281,72463,72,4420,11538,4694,123329,110
282,inst-282,71153,83,3115,11070,16251,129385,142
283,inst-283,69847,153,7561,7413,12914,124085,173
284,inst-284,84842,5,0,7577,9722,90726,184
285,inst-285,77481,140,17628,7772,0,48724,118
286,inst-286,83922,68,15471,10046,6361,50863,175
287,inst-287,77385,183,9808,6645,11805,60516,219
288,inst-288,77307,119,0,13920,17763,118818,94
289,inst-289,84771,348,11396,8596,15617,127699,117
290,inst-290,79066,187,9326,2076,4788,95697,194
291,inst-291,46111,133,9088,17787,12406,134704,114
292,inst-292,15387,228,10525,0,7583,104881,121
293,inst-293,74465,230,16634,14022,5703,64023,199
294,inst-294,85353,115,11803,9529,4365,142256,50
295,inst-295,84750,5,4297,18909,9430,91593,115
296,inst-296,73006,119,3259,17074,5603,119802,188
297,inst-297,85456,111,7721,13638,14000,83320,82
298,inst-298,70691,214,3657,8407,9241,67720,92
299,inst-299,39103,207,2608,4807,0,188966,76
